time,x,y,yaw,vel_x,yaw_vel,ob_x,ob_y,path x,path y
101.2208941,1.986436263,4.980481391,53.46964182,0.15,0,,,,
101.269063,1.988095257,4.98272257,53.4566076,0.15,0,,,,
101.3221238,1.990132997,4.985470345,53.39131751,0.15,0,,,,
101.3840449,1.992628679,4.988823925,53.27374158,0,0.2,,,,
101.4579897,2.001229499,5.000325696,53.19857873,0,-0.2,,,,
101.5287886,2.003322648,5.003123306,53.17249905,0,-0.2,,,,
101.5776539,2.004750875,5.005030028,53.11288441,0,-0.2,,,,
101.6350517,2.005590422,5.006148391,53.00657676,0,-0.2,,,,
101.687583,2.00594093,5.006618144,52.05035172,0,-0.2,,,,
101.7537558,2.005978807,5.006669219,51.65988544,0,-0.2,,,,
101.8031144,2.006015922,5.006718569,51.28084932,0,-0.2,,,,
101.8569996,2.006053382,5.006767697,50.90176022,0,-0.2,,,,
101.9007199,2.006092336,5.006818079,50.51112828,0,-0.2,,,,
101.9676611,2.006168988,5.006915189,49.75268293,0,-0.2,,,,
102.0523524,2.00628771,5.007060549,48.603123,0,-0.2,,,,
102.1017251,2.006328778,5.007109474,48.21216331,0,-0.2,,,,
102.1673892,2.006368976,5.007156713,47.83264967,0.15,0,,,,
102.2163928,2.006451607,5.007251865,47.06196292,0.15,0,,,,
102.2836142,2.007579391,5.00844956,46.55104462,0.15,0,,,,
102.3518345,2.008882241,5.009822536,46.4642703,0.15,0,,,,
102.4201391,2.01056173,5.011591722,46.57023567,0.15,0,,,,
102.484236,2.014966245,5.016312048,47.64112759,0.15,0,,,,
102.5443206,2.017355177,5.01896741,48.53055964,0.15,0,,,,
102.603663,2.022123973,5.024526649,50.28959186,0,-0.2,,,,
102.661679,2.026555022,5.02995978,51.23024715,0,-0.2,,,,
102.7134745,2.02832119,5.032170832,51.67899079,0,-0.2,,,,
102.7609718,2.02963185,5.033838175,52.19819173,0,-0.2,,,,
102.8241048,2.031215893,5.035910779,53.25908192,0,-0.2,,,,
102.8723984,2.031941032,5.036886466,53.39451881,0,-0.2,,,,
102.9546108,2.032043457,5.037025815,53.09868926,0,-0.2,,,,
103.0158577,2.032111883,5.037121177,52.34846835,0,-0.2,,,,
103.0670424,2.032147693,5.037170064,51.9619285,0,-0.2,,,,
103.1280322,2.032218154,5.037264287,51.21143026,0,-0.2,,,,
103.1838679,2.032254932,5.037312467,50.82472104,0,-0.2,,,,
103.2510149,2.03229094,5.037358996,50.44932692,0,-0.2,,,,
103.3342659,2.032364987,5.037452746,49.68698632,0,-0.2,,,,
103.3857956,2.032401908,5.037498573,49.31141268,0,-0.2,,,,
103.4470069,2.03243913,5.037544182,48.93577937,0,-0.2,,,,
103.4916439,2.032477803,5.037590931,48.54870139,0,-0.2,,,,
103.5473256,2.032553812,5.037680975,47.79713549,0,-0.2,,,,
103.6233385,2.032671306,5.037815595,46.65795236,0,-0.2,,,,
103.6804914,2.032711888,5.037860859,46.27050895,0.15,0,,,,
103.7419748,2.033018814,5.038181659,45.93707163,0.15,0,,,,
103.7962945,2.035115531,5.04031926,45.11465792,0.15,0,,,,
103.8690569,2.039160083,5.044294028,43.72217194,0.15,0,,,,
103.924777,2.041918314,5.046891673,42.70479551,0.15,0,,,,
103.9740791,2.044730531,5.049451079,41.77762658,0,0.2,,,,
104.0346231,2.04759949,5.051979373,40.86691046,0,0.2,,,,
104.1013136,2.053286261,5.056755678,39.10528216,0,0.2,,,,
104.1643803,2.057571361,5.060184995,38.10308028,0,0.2,,,,
104.2394369,2.060130824,5.062185525,37.80429641,0,0.2,,,,
104.3210635,2.060764796,5.06267851,37.9090129,0,0.2,,,,
104.3640556,2.060931538,5.062807861,38.16735934,0,0.2,,,,
104.4184051,2.060888557,5.062771951,38.54112237,0,0.2,,,,
104.4687102,2.060799858,5.06269609,39.30254704,0,0.2,,,,
104.525568,2.060711878,5.062618812,40.06408596,0,0.2,,,,
104.5720248,2.06066882,5.062580233,40.43921544,0,0.2,,,,
104.6288373,2.060625951,5.062541317,40.81437557,0,0.2,,,,
104.6788378,2.060539509,5.062461277,41.57616217,0,0.2,,,,
104.7390168,2.060453898,5.062379877,42.33808843,0.15,0,,,,
104.7994299,2.060412048,5.062339292,42.71342035,0.15,0,,,,
104.8498161,2.060602827,5.062513811,42.94065183,0.15,0,,,,
104.9184487,2.062169039,5.063964616,42.95300083,0.15,0,,,,
104.9808912,2.065174165,5.066764803,43.08295242,0.15,0,,,,
105.0338728,2.069276267,5.070662856,44.26555451,0.15,0,,,,
105.1055527,2.071642552,5.073007808,45.3858377,0.15,0,,,,
105.164536,2.073942637,5.075377002,46.44705298,0.15,0,,,,
105.2140753,2.076295531,5.07788983,47.41809342,0.15,0,,,,
105.2725542,2.081453058,5.083659159,48.90754666,0,-0.2,,,,
105.3670559,2.08746614,5.090642642,49.44663583,0,-0.2,,,,
105.4223254,2.090400647,5.094077894,49.55319789,0,-0.2,,,,
105.4803991,2.094628948,5.099091773,50.47138643,0,-0.2,,,,
105.5339212,2.096731344,5.101693348,51.98970468,0,-0.2,,,,
105.6011963,2.097400347,5.10255365,52.43010855,0,-0.2,,,,
105.6551704,2.098036756,5.103383797,52.42202035,0,-0.2,,,,
105.716172,2.098091591,5.103457331,52.05710736,0,-0.2,,,,
105.7695694,2.098128012,5.103506449,51.68046547,0,-0.2,,,,
105.8337631,2.098164757,5.103555333,51.30375966,0,-0.2,,,,
105.8936555,2.098240357,5.103653851,50.53873594,0,-0.2,,,,
105.9519389,2.098317289,5.103751386,49.77345081,0,-0.2,,,,
105.9988136,2.098355668,5.103799061,49.39642405,0,-0.2,,,,
106.0619373,2.098394369,5.103846493,49.01933489,0,-0.2,,,,
106.1269047,2.098473929,5.103942043,48.25354003,0,-0.2,,,,
106.1874962,2.098554801,5.104036581,47.48749317,0.15,0,,,,
106.2458661,2.098595101,5.104082781,47.11009563,0.15,0,,,,
106.3076859,2.0998396,5.10540233,46.24467722,0.15,0,,,,
106.383677,2.101241316,5.106852925,45.6465275,0.15,0,,,,
106.4589188,2.105591835,5.11118382,44.00300462,0.15,0,,,,
106.520844,2.108312147,5.11377283,43.04367674,0.15,0,,,,
106.5653965,2.114167103,5.119086758,41.30801078,0,0.2,,,,
106.6195948,2.114167103,5.119086758,41.30801078,0,0.2,,,,
106.6771441,2.12276659,5.12633975,38.6476125,0,0.2,,,,
106.7426748,2.127797856,5.130226014,36.5435925,0,0.2,,,,
106.7894425,2.130149644,5.131936585,35.30611935,0,0.2,,,,
106.8354316,2.134294262,5.134751899,32.79165025,0,0.2,,,,
106.9010661,2.136296467,5.136019081,31.61457189,0,0.2,,,,
106.95718,2.139871846,5.138144474,29.61294273,0,0.2,,,,
107.004451,2.141525695,5.139072282,28.74048712,0,0.2,,,,
107.0665476,2.144307718,5.140561535,27.38521568,0,0.2,,,,
107.1169305,2.145495343,5.141172525,26.87378556,0,0.2,,,,
107.179286,2.147268465,5.142061627,26.27314022,0,0.2,,,,
107.2453263,2.147886438,5.14236649,26.177836,0,0.2,,,,
107.2993882,2.148281808,5.142560679,26.23224158,0,0.2,,,,
107.3573117,2.148496202,5.142666745,26.41605384,0,0.2,,,,
107.4141669,2.148513109,5.142671986,27.09106515,0,0.2,,,,
107.4647617,2.14841066,5.142614862,27.85262037,0,0.2,,,,
107.522752,2.148360587,5.142586292,28.2276511,0,0.2,,,,
107.5770559,2.148259661,5.142527376,28.98903754,0,0.2,,,,
107.6354847,2.148161219,5.142468188,29.73902507,0,0.2,,,,
107.6875684,2.148110896,5.142437247,30.12537604,0,0.2,,,,
107.7454021,2.148062306,5.142406926,30.50036295,0,0.2,,,,
107.8017938,2.148013969,5.142376319,30.87535059,0,0.2,,,,
107.8801363,2.147916603,5.142313306,31.63670142,0,0.2,,,,
107.9403455,2.147820277,5.142249129,32.39808307,0,0.2,,,,
107.983597,2.147773214,5.142217094,32.77310874,0,0.2,,,,
108.0395246,2.1477264,5.142184777,33.14814919,0,0.2,,,,
108.1149449,2.14758604,5.14208512,34.28475935,0,0.2,,,,
108.1802125,2.147538812,5.142050633,34.67126724,0,0.2,,,,
108.2398636,2.147493185,5.142016848,35.04645798,0,0.2,,,,
108.2967701,2.147447766,5.141982756,35.42170007,0,0.2,,,,
108.3455532,2.14740119,5.14194731,35.80836747,0,0.2,,,,
108.3988452,2.147311416,5.141877573,36.55911543,0,0.2,,,,
